Database Report 1 (R4)	Total Searches, Result Clicks and Record Views by Month and Database
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Database	Publisher	Platform	User Activity	Reporting Period Total	Jan-2019	Feb-2019	Mar-2019	Apr-2019
Library, Information Science & Technology Abstracts	EBSCO	EBSCOhost	Regular Searches	190	14	144	17	15
Library, Information Science & Technology Abstracts	EBSCO	EBSCOhost	Searches-federated and automated	289509	76460	72323	73003	67723
Library, Information Science & Technology Abstracts	EBSCO	EBSCOhost	Result Clicks	1	0	1	0	0
Library, Information Science & Technology Abstracts	EBSCO	EBSCOhost	Record Views	32	6	6	9	11
MEDLINE	EBSCO	EBSCOhost	Regular Searches	203	14	151	19	19
MEDLINE	EBSCO	EBSCOhost	Searches-federated and automated	284431	76380	70972	71089	65990
MEDLINE	EBSCO	EBSCOhost	Result Clicks	70	12	39	14	5
MEDLINE	EBSCO	EBSCOhost	Record Views	281	77	76	74	54
MGG Online	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
MGG Online	EBSCO	EBSCOhost	Searches-federated and automated	287684	75895	71905	72589	67295
MGG Online	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
MGG Online	EBSCO	EBSCOhost	Record Views	5	1	0	3	1
MLA Directory of Periodicals	EBSCO	EBSCOhost	Regular Searches	191	16	144	16	15
MLA Directory of Periodicals	EBSCO	EBSCOhost	Searches-federated and automated	288917	76237	72196	72895	67589
MLA Directory of Periodicals	EBSCO	EBSCOhost	Result Clicks	4	4	0	0	0
MLA Directory of Periodicals	EBSCO	EBSCOhost	Record Views	3	3	0	0	0
MLA International Bibliography	EBSCO	EBSCOhost	Regular Searches	947	72	251	39	585
MLA International Bibliography	EBSCO	EBSCOhost	Searches-federated and automated	289484	76428	72319	73024	67713
MLA International Bibliography	EBSCO	EBSCOhost	Result Clicks	754	162	233	110	249
MLA International Bibliography	EBSCO	EBSCOhost	Record Views	744	199	212	155	178
